genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
RM19-2714,CAS,HIF 6,2020,2,10,56,P,8,t,1,26,869.5,14.5,NA,42.65,22.9
RM19-2714,CAS,HIF 6,2020,3,10,79,P,NA,t,NA,NA,1010.1,15.1,NA,42.28,23.2
RM19-2717,CAS,HIF 6,2020,1,11,19,P,8,t,1,25,844.5,15,NA,43.2,22.91
RM19-2717,CAS,HIF 6,2020,2,11,40,P,8,t,1,37,808.2,16.2,NA,43.58,23.01
RM19-2717,CAS,HIF 6,2020,3,11,82,P,NA,t,NA,NA,1018.8,15.3,NA,43.87,22.78
RM19-2718,CAS,HIF 6,2020,1,12,23,P,8,t,1,25,811.3,15.3,NA,44.21,22.91
RM19-2718,CAS,HIF 6,2020,2,12,32,P,8,t,2,29,888.2,15.3,NA,42.77,23.24
RM19-2718,CAS,HIF 6,2020,3,12,78,P,NA,t,NA,NA,1032,14.8,NA,42.98,23.27
RM19-2719,CAS,HIF 6,2020,1,13,9,P,8,t,1.5,31,959.2,15.4,NA,42.89,22.89
RM19-2719,CAS,HIF 6,2020,2,13,57,P,8,t,1,26,745.6,14.6,NA,41.95,23.14
RM19-2719,CAS,HIF 6,2020,3,13,75,P,NA,t,NA,NA,1033.5,16.2,NA,43.04,23.01
RM19-2725,CAS,HIF 6,2020,1,14,7,P,8,g,1,27,1148.2,17.5,NA,41.41,23.29
RM19-2725,CAS,HIF 6,2020,2,14,51,P,8,g,1,25,905.3,16.9,NA,42.18,23.43
RM19-2725,CAS,HIF 6,2020,3,14,83,P,NA,g,NA,NA,1228.6,17.5,NA,41.87,23.1
RM19-2726,CAS,HIF 6,2020,1,15,17,P,8,g,1,27,1081.7,16.6,NA,45.68,21.36
RM19-2726,CAS,HIF 6,2020,2,15,55,P,8,g,1,25,864.2,16.4,NA,46.25,21.53
RM19-2726,CAS,HIF 6,2020,3,15,87,P,NA,g,NA,NA,1020.6,16.3,NA,45.47,22.15
RM19-2728,CAS,HIF 6,2020,1,16,29,P,8,g,1.5,46,950.8,14.1,NA,46.46,20.88
RM19-2728,CAS,HIF 6,2020,2,16,36,P,8,g,1.5,42,1002.4,13.4,NA,45.61,21.42
RM19-2728,CAS,HIF 6,2020,3,16,61,P,NA,g,NA,NA,1071.2,14.4,NA,46.55,21.65
RM19-2747,CAS,HIF 6,2020,1,17,25,P,8,t,1,32,1025,15.2,NA,49.23,19.94
RM19-2747,CAS,HIF 6,2020,2,17,52,P,8,t,1,27,960,14.8,NA,49,19.99
RM19-2747,CAS,HIF 6,2020,3,17,80,P,NA,t,NA,NA,1005.1,13.3,NA,47.51,20.54
RM19-2749,CAS,HIF 6,2020,1,18,24,P,8,t,1.5,35,1072.2,15.6,NA,49.87,19.45
RM19-2749,CAS,HIF 6,2020,2,18,34,P,8,t,1,35,1023.7,15.1,NA,49.56,20.09
RM19-2749,CAS,HIF 6,2020,3,18,67,P,NA,t,NA,NA,1070.5,15.4,NA,49.64,19.79
RM19-2750,CAS,HIF 6,2020,1,19,12,P,8,t,1.5,35,945.5,14.4,NA,49.15,19.89
RM19-2750,CAS,HIF 6,2020,2,19,50,P,8,t,1,32,855.4,14.5,NA,74.51,-0.92
RM19-2750,CAS,HIF 6,2020,3,19,71,P,NA,t,NA,NA,1049.7,14.4,NA,49.11,19.33
