genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
N19-1241,CAS,LP 6L,2020,3,30,129,p,NA,t,NA,NA,1324.7,13.4,NA,43.99,21.11
N19-1253,CAS,LP 6L,2020,1,31,18,P,25,g,1.5,33,1343.6,16.4,1.5,44.22,21.43
N19-1253,CAS,LP 6L,2020,2,31,76,P,25,g,1.5,34,1280.6,17.3,1.5,45.4,21.28
N19-1253,CAS,LP 6L,2020,3,31,123,P,NA,g,NA,NA,1348.2,16.7,NA,43.87,21.7
N19-1303,CAS,LP 6L,2020,1,32,21,w,28,g,1.5,45,1246.4,17.1,1.5,42.82,22.3
N19-1303,CAS,LP 6L,2020,2,32,81,w,27,g,1.5,50,1323,16.8,1,41.55,22.54
N19-1303,CAS,LP 6L,2020,3,32,130,W,NA,g,NA,NA,1288.2,16.8,NA,41.09,22.98
N19-1323,CAS,LP 6L,2020,1,33,43,w,26,t,2.5,40,1246.9,16.2,1.5,42.75,21.87
N19-1323,CAS,LP 6L,2020,2,33,74,w,26,t,2,43,1284.9,16.5,1.5,44.01,21.52
N19-1323,CAS,LP 6L,2020,3,33,124,w,NA,t,NA,NA,1206.9,15.9,NA,43.89,21.08
N19-1327,CAS,LP 6L,2020,1,34,40,p,26,g,2,45,1159.3,15.9,1.5,41.08,22.34
N19-1327,CAS,LP 6L,2020,2,34,49,p,25,g,2,45,1089.3,15.7,1.5,42.01,21.98
N19-1327,CAS,LP 6L,2020,3,34,106,p,NA,g,NA,NA,1195.1,15.6,NA,42.12,22.34
N19-1349,CAS,LP 6L,2020,1,35,36,P,25,g,1.5,34,1021.9,15.3,1.5,43.47,21.93
N19-1349,CAS,LP 6L,2020,2,35,47,P,25,g,2,36,1312.5,15.3,1.5,42.28,22.83
N19-1349,CAS,LP 6L,2020,3,35,122,P,NA,g,NA,NA,1254.8,14.8,NA,42.6,22.28
N19-1357,CAS,LP 6L,2020,1,36,44,w,28,g,2,42,1241,13.1,1.5,43.73,21.59
N19-1357,CAS,LP 6L,2020,2,36,80,w,28,g,2.5,42,1230.2,13,1.5,43.79,21.76
N19-1357,CAS,LP 6L,2020,3,36,115,w,NA,g,NA,NA,1166.8,12.7,NA,44.38,21.25
N19-1359,CAS,LP 6L,2020,1,37,24,p,27,t,2,37,1211.8,12,1,44.59,21.47
N19-1359,CAS,LP 6L,2020,2,37,86,p,26,t,2,39,1339.3,11.9,1,45.6,21.19
N19-1359,CAS,LP 6L,2020,3,37,107,p,NA,t,NA,NA,1094.8,11.2,NA,45.39,20.93
N19-1364,CAS,LP 6L,2020,1,38,8,p,30,g,1.5,35,1387.1,14.4,1.5,45.39,20.95
N19-1364,CAS,LP 6L,2020,2,38,78,p,27,g,1.5,39,1393.2,14,1.5,44.54,21.48
N19-1364,CAS,LP 6L,2020,3,38,96,p,NA,g,NA,NA,1372.8,14.1,NA,44.31,21.22
N19-1365,CAS,LP 6L,2020,1,39,2,p,30,g,3,42,1632.5,13.2,1.5,42.58,20.88
N19-1365,CAS,LP 6L,2020,2,39,48,P,28,g,2.5,36,1250.9,13.6,1,42.13,21.21
N19-1365,CAS,LP 6L,2020,3,39,97,p,NA,g,NA,NA,1222.5,13.6,NA,43.88,20.69
N19-1395,CAS,LP 6L,2020,1,40,22,w,25,t,2,37,1078.8,11.6,1.5,43.59,21.1
N19-1395,CAS,LP 6L,2020,2,40,58,w,25,t,1.5,35,1213.9,11,1.5,42.61,21.85
N19-1395,CAS,LP 6L,2020,3,40,112,w,NA,t,NA,NA,1041.6,11,NA,42.09,21.92
N19-1468,CAS,LP 6L,2020,1,41,38,p,27,t,2,36,1386.6,14.2,1.5,42.8,22.15
N19-1468,CAS,LP 6L,2020,2,41,89,p,26,t,1.5,39,1357.6,12.6,1.5,42.6,22.34
N19-1468,CAS,LP 6L,2020,3,41,117,p,NA,t,NA,NA,1381.5,12.9,NA,42.13,22.53
N19-1485,CAS,LP 6L,2020,1,42,34,w,26,g,1.5,38,1222.5,13,1,43.69,21.18
N19-1485,CAS,LP 6L,2020,2,42,46,w,25,g,1.5,39,1280.9,13.1,1,42.9,21.67
N19-1485,CAS,LP 6L,2020,3,42,99,w,NA,g,NA,NA,1108.7,12.6,NA,43.04,21.44
Dunphy,CAS,LP 6L,2020,1,43,39,P,22,g,1.5,29,1270.5,16.5,1,42.62,21.75
Dunphy,CAS,LP 6L,2020,2,43,51,P,21,g,1.5,32,1348.2,15.9,1,41.59,22.41
Dunphy,CAS,LP 6L,2020,3,43,135,P,NA,g,NA,NA,1257.3,14.3,NA,41.27,22.75
NC-Dilday,CAS,LP 6L,2020,1,44,35,P,27,g,2,30,1059.4,18.8,1,42.53,22.23
NC-Dilday,CAS,LP 6L,2020,2,44,50,P,25,g,2.5,36,1234.3,16.9,1,43.36,21.95
NC-Dilday,CAS,LP 6L,2020,3,44,104,P,NA,g,NA,NA,1236.7,17,NA,43.68,22.08
Young,CAS,LP 6L,2020,1,45,37,w,24,g,2,42,999.7,14.4,1,44.34,21.05
Young,CAS,LP 6L,2020,2,45,66,w,22,g,2.5,38,1066.4,14,1,45.78,20.35
Young,CAS,LP 6L,2020,3,45,95,w,NA,g,NA,NA,1126.7,13.9,NA,45.1,20.35
N19-0535,PLY,LP 6L,2020,1,1,24,W,68,g,3,54,947.9,19,2.5,46.44,21.3
N19-0535,PLY,LP 6L,2020,2,1,56,W,66,g,3,42,1362.4,18,2,45.27,21.65
N19-0535,PLY,LP 6L,2020,3,1,128,W,NA,g,NA,NA,958.7,15.8,NA,45.16,21.57
N19-0538,PLY,LP 6L,2020,1,2,18,W,65,g,1.5,25,1653.4,13.7,2,43.32,21.45
N19-0538,PLY,LP 6L,2020,2,2,68,W,67,g,2,33,1614.9,14.7,2,43.47,21.76
N19-0538,PLY,LP 6L,2020,3,2,124,W,NA,g,NA,NA,1488.5,13.3,NA,42.59,21.66
N19-0762,PLY,LP 6L,2020,1,3,31,P,70,t,1.5,33,1465.2,12.5,2,42.8,21.58
N19-0762,PLY,LP 6L,2020,2,3,89,P,68,t,2,28,1388.3,13.6,2,43.79,21.09
N19-0762,PLY,LP 6L,2020,3,3,109,P,NA,t,NA,NA,1468.5,15.3,NA,44.74,20.86
N19-0763,PLY,LP 6L,2020,1,4,19,W,68,g,1.5,33,1256.7,15.8,2,44.65,20.22
N19-0763,PLY,LP 6L,2020,2,4,57,W,68,g,1.5,25,773.7,14.9,2.5,42.66,21.19
N19-0763,PLY,LP 6L,2020,3,4,122,W,NA,g,NA,NA,1393.1,13.8,NA,42.75,21.25
N19-0772,PLY,LP 6L,2020,1,5,32,P,64,g,2,34,1449,14.3,2,43.8,21.42
N19-0772,PLY,LP 6L,2020,2,5,70,P,67,g,2,36,1454.3,14.6,2,44.35,20.38
N19-0772,PLY,LP 6L,2020,3,5,100,P,NA,g,NA,NA,1334.3,13.8,NA,44.61,20.1
N19-0774,PLY,LP 6L,2020,1,6,36,P,58,t,1.5,30,896.7,18.4,2,42.63,21.01
N19-0774,PLY,LP 6L,2020,2,6,53,P,54,t,1.5,30,1228.9,18.2,2,41.84,22.15
N19-0774,PLY,LP 6L,2020,3,6,108,P,NA,t,NA,NA,1105,15.8,NA,43.62,21.37
N19-0775,PLY,LP 6L,2020,1,7,14,P,59,t,1.5,25,1390.7,17.5,2,44.14,22.16
N19-0775,PLY,LP 6L,2020,2,7,50,P,55,t,1.5,30,1479.8,15.9,1.5,42.46,22.12
N19-0775,PLY,LP 6L,2020,3,7,116,P,NA,t,NA,NA,1469.1,16.3,NA,41.94,22.7
N19-0782,PLY,LP 6L,2020,1,8,5,P,68,g,1.5,23,1105.7,12.5,2.5,44.14,21.05
N19-0782,PLY,LP 6L,2020,2,8,66,P,59,g,1.5,28,1231.7,12.8,2.5,42.48,21.83
N19-0782,PLY,LP 6L,2020,3,8,104,P,NA,g,NA,NA,1197.1,14.8,NA,44.39,21.25
N19-0787,PLY,LP 6L,2020,1,9,41,W,52,g,1.5,24,1455.1,12.4,2,42.93,22.82
N19-0787,PLY,LP 6L,2020,2,9,90,W,50,g,1.5,30,1249.2,11.3,2,42.53,23.34
N19-0787,PLY,LP 6L,2020,3,9,127,W,NA,g,NA,NA,1361.6,12.1,NA,42.08,23.63
N19-0820,PLY,LP 6L,2020,1,10,27,P,68,t,1,23,1340.9,16,2,46.14,19.34
N19-0820,PLY,LP 6L,2020,2,10,52,P,65,t,1.5,28,1552.2,13.4,2,44.14,19.93
N19-0820,PLY,LP 6L,2020,3,10,132,P,NA,t,NA,NA,1486.9,11.7,NA,43.52,19.79
N19-0829,PLY,LP 6L,2020,1,11,45,P,66,t,2,32,1496.9,15.5,2,43.28,21.2
N19-0829,PLY,LP 6L,2020,2,11,73,P,66,t,2,34,1650.1,14.2,2,44.1,20.46
N19-0829,PLY,LP 6L,2020,3,11,105,P,NA,t,NA,NA,1440.4,14.2,NA,43.76,20.6
N19-0836,PLY,LP 6L,2020,1,12,25,W,57,t,2,27,1322.3,12.8,2,40.71,22.09
N19-0836,PLY,LP 6L,2020,2,12,77,W,55,t,3,29,1336.8,12.9,2,41.04,22.13
N19-0836,PLY,LP 6L,2020,3,12,96,W,NA,t,NA,NA,1100.5,12.5,NA,40.57,22.31
N19-0837,PLY,LP 6L,2020,1,13,28,P,57,g,1,25,1407.5,13.4,1.5,41.51,21.75
N19-0837,PLY,LP 6L,2020,2,13,65,P,58,g,1.5,20,1270.9,13.9,1.5,41.56,21.86
N19-0837,PLY,LP 6L,2020,3,13,92,P,NA,g,NA,NA,1336.7,12.9,NA,41.88,21.51
N19-0850,PLY,LP 6L,2020,1,14,2,P,61,g,1.5,24,1220.4,14.2,2,42.51,20.87
N19-0850,PLY,LP 6L,2020,2,14,87,P,57,g,2,30,1248.5,11.7,1.5,41.7,21.33
N19-0850,PLY,LP 6L,2020,3,14,115,P,NA,g,NA,NA,1305.7,11.3,NA,40.84,21.36
N19-0964,PLY,LP 6L,2020,1,15,26,P,57,t,2,26,1404.6,17.3,2,42.45,22.14
N19-0964,PLY,LP 6L,2020,2,15,67,P,59,t,2,29,1237,15.6,2,42.77,22.68
N19-0964,PLY,LP 6L,2020,3,15,99,P,NA,t,NA,NA,1412.3,15.5,NA,44.03,22.24
N19-0995,PLY,LP 6L,2020,1,16,10,P,67,g,1.5,24,1244.4,13.3,2,44.23,20.29
N19-0995,PLY,LP 6L,2020,2,16,82,P,60,g,1.5,34,1282.2,13.4,2,44.28,20.38
N19-0995,PLY,LP 6L,2020,3,16,126,P,NA,g,NA,NA,981.3,11.6,NA,43.89,20.13
N19-1021,PLY,LP 6L,2020,1,17,4,W,72,g,1.5,28,1146,13.2,2,45.6,20.31
N19-1021,PLY,LP 6L,2020,2,17,63,W,68,g,1.5,29,1376,12.4,2,45.5,20.29
N19-1021,PLY,LP 6L,2020,3,17,114,W,NA,g,NA,NA,1374.6,11.7,NA,44.86,20.55
N19-1041,PLY,LP 6L,2020,1,18,22,S,57,g,1.5,31,1332.1,12.9,2,45.54,20.7
N19-1041,PLY,LP 6L,2020,2,18,49,S,57,g,1.5,31,1297.4,12.7,2,44.52,21.35
N19-1041,PLY,LP 6L,2020,3,18,94,S,NA,g,NA,NA,1342.5,12.5,NA,45.02,20.82
N19-1042,PLY,LP 6L,2020,1,19,34,W,66,g,2,25,1261.4,13.6,1.5,45.61,19.79
N19-1042,PLY,LP 6L,2020,2,19,84,W,66,g,2,28,1300.4,11.9,1.5,46.05,19.96
N19-1042,PLY,LP 6L,2020,3,19,123,W,NA,g,NA,NA,1252.7,10.4,NA,44.88,20.27
N19-1052,PLY,LP 6L,2020,1,20,37,W,58,g,1.5,28,1258.5,13.7,2,44.52,20.13
N19-1052,PLY,LP 6L,2020,2,20,88,W,58,g,1.5,33,1333.8,14.1,2,46.63,19.73
N19-1052,PLY,LP 6L,2020,3,20,131,W,NA,g,NA,NA,1252.4,14.2,NA,44.63,20.15
N19-1065,PLY,LP 6L,2020,1,21,11,W,58,g,1.5,24,1367.6,13.1,2,44.75,20.67
N19-1065,PLY,LP 6L,2020,2,21,80,W,60,g,1.5,28,1287.4,14,2,45.07,20.13
N19-1065,PLY,LP 6L,2020,3,21,133,W,NA,g,NA,NA,1522.3,14.1,NA,43.05,21.48
N19-1066,PLY,LP 6L,2020,1,22,23,W,54,t,1.5,27,1466.8,13.5,2,43.37,21.8
N19-1066,PLY,LP 6L,2020,2,22,48,W,57,t,1.5,29,1362.3,14.1,2,43.11,21.77
N19-1066,PLY,LP 6L,2020,3,22,98,W,NA,t,NA,NA,1176.1,14.3,NA,44.46,21.02
N19-1072,PLY,LP 6L,2020,1,23,44,W,58,g,1.5,26,1313.6,12.1,2,43.12,21.73
N19-1072,PLY,LP 6L,2020,2,23,54,W,54,g,1.5,26,1076.3,12,2,43.31,22.05
N19-1072,PLY,LP 6L,2020,3,23,106,W,NA,g,NA,NA,1307.2,13,NA,43.77,21.87
N19-1092,PLY,LP 6L,2020,1,24,6,W,60,t,2,24,1375.5,14.5,2,47.7,21.31
N19-1092,PLY,LP 6L,2020,2,24,76,W,57,t,2,25,1260.3,13.9,2,45.73,21.55
N19-1092,PLY,LP 6L,2020,3,24,111,W,NA,t,NA,NA,1124.8,15,NA,48.17,20.42
N19-1093,PLY,LP 6L,2020,1,25,39,W,56,t,1.5,26,1620.9,12.5,2,43.67,20.8
N19-1093,PLY,LP 6L,2020,2,25,71,W,58,t,1.5,26,1331.5,12.5,2,46.46,19.53
N19-1093,PLY,LP 6L,2020,3,25,120,W,NA,t,NA,NA,1405.8,13.2,NA,25.96,3.9
N19-1109,PLY,LP 6L,2020,1,26,43,P,60,t,1.5,27,1538.6,12.9,2,45.27,21.07
N19-1109,PLY,LP 6L,2020,2,26,59,P,61,t,1.5,28,1316.2,13,2,45.46,20.9
N19-1109,PLY,LP 6L,2020,3,26,103,P,NA,t,NA,NA,1613.1,12.1,NA,45.02,21.24
N19-1174,PLY,LP 6L,2020,1,27,21,W,66,g,2,32,1600.2,13.6,2,43.19,21.08
N19-1174,PLY,LP 6L,2020,2,27,85,W,67,g,2,34,1496.5,17.2,2,43.84,20.85
N19-1174,PLY,LP 6L,2020,3,27,130,W,NA,g,NA,NA,1486.7,14.6,NA,43.91,20.53
N19-1220,PLY,LP 6L,2020,1,28,30,P,51,g,1.5,27,1564.3,13.7,2,41.09,24.26
N19-1220,PLY,LP 6L,2020,2,28,51,P,54,g,1.5,27,1261.7,15.9,2,41.6,24.16
N19-1220,PLY,LP 6L,2020,3,28,107,P,NA,g,NA,NA,1437.1,17.5,NA,43.96,23.25
N19-1227,PLY,LP 6L,2020,1,29,33,M,64,t,2.5,38,1466.2,13.4,1.5,41.98,22.22
N19-1227,PLY,LP 6L,2020,2,29,86,M,60,t,2.5,46,1422.7,12.5,1.5,41.37,22.45
N19-1227,PLY,LP 6L,2020,3,29,93,M,NA,t,NA,NA,1451.9,12.8,NA,43.21,21.56
N19-1241,PLY,LP 6L,2020,1,30,1,P,68,t,1.5,33,1516.5,13,2,43.67,20.59
N19-1241,PLY,LP 6L,2020,2,30,46,P,68,t,2,32,1075.9,15.1,2,42.24,21.43
N19-1241,PLY,LP 6L,2020,3,30,101,P,NA,t,NA,NA,1376.2,13.5,NA,44.53,20.48
N19-1253,PLY,LP 6L,2020,1,31,9,P,61,g,1.5,26,1519.3,15.3,2,44.87,20.93
N19-1253,PLY,LP 6L,2020,2,31,83,P,59,g,1.5,30,1544.6,17.2,2,45.15,21.35
N19-1253,PLY,LP 6L,2020,3,31,91,P,NA,g,NA,NA,1381,14.6,NA,44.54,21.34
N19-1303,PLY,LP 6L,2020,1,32,35,W,68,g,3,39,1077.9,17.6,2,42.44,21.81
N19-1303,PLY,LP 6L,2020,2,32,78,W,68,g,3,44,1322.6,15.4,2,42.87,22.2
N19-1303,PLY,LP 6L,2020,3,32,134,W,NA,g,NA,NA,918.1,14.1,NA,42.1,21.78
N19-1323,PLY,LP 6L,2020,1,33,17,W,67,t,1.5,29,1464.2,17.1,2,42.95,21.1
N19-1323,PLY,LP 6L,2020,2,33,81,W,58,t,2,36,1329.2,15,2,42.56,21.5
N19-1323,PLY,LP 6L,2020,3,33,112,W,NA,t,NA,NA,1563.5,15.1,NA,41.35,22.4
N19-1327,PLY,LP 6L,2020,1,34,12,P,70,g,2,40,1240.1,16,2,43.22,20.8
N19-1327,PLY,LP 6L,2020,2,34,64,P,69,g,2.5,39,1202.2,15.8,2,41.66,21.64
N19-1327,PLY,LP 6L,2020,3,34,135,P,NA,g,NA,NA,1013.6,13.2,NA,42.49,20.9
N19-1349,PLY,LP 6L,2020,1,35,8,P,58,g,1.5,23,1467.4,14.9,2,44.72,20.98
N19-1349,PLY,LP 6L,2020,2,35,69,P,59,g,1.5,26,1504.2,14.3,2,43.04,22.34
N19-1349,PLY,LP 6L,2020,3,35,97,P,NA,g,NA,NA,1380.5,15.2,NA,44.57,21.45
N19-1357,PLY,LP 6L,2020,1,36,13,W,66,g,1.5,26,1373.7,11.1,2,44.78,21.3
N19-1357,PLY,LP 6L,2020,2,36,60,W,61,g,3,31,1562.4,11.6,2,43.62,21.89
N19-1357,PLY,LP 6L,2020,3,36,95,W,NA,g,NA,NA,1327.1,11.8,NA,42.7,21.76
N19-1359,PLY,LP 6L,2020,1,37,29,P,66,t,2,30,1640.2,12.1,1.5,44.95,21.25
N19-1359,PLY,LP 6L,2020,2,37,47,P,66,t,2,28,1507.7,11,1.5,44.17,21.2
N19-1359,PLY,LP 6L,2020,3,37,118,P,NA,t,NA,NA,1539.3,10.7,NA,44.02,21.57
N19-1364,PLY,LP 6L,2020,1,38,7,P,72,g,1.5,28,1494.8,15.7,2,44.96,21.24
N19-1364,PLY,LP 6L,2020,2,38,79,P,67,g,1.5,32,1551.9,15,2,44.71,21.15
N19-1364,PLY,LP 6L,2020,3,38,119,P,NA,g,NA,NA,1580,13.7,NA,44.24,21.03
N19-1365,PLY,LP 6L,2020,1,39,15,P,71,g,2,28,1604.8,13.8,2,43.18,20.12
N19-1365,PLY,LP 6L,2020,2,39,62,P,70,g,2,30,1487.9,13.2,1.5,42.95,20.99
N19-1365,PLY,LP 6L,2020,3,39,113,P,NA,g,NA,NA,1448.9,13.2,NA,43.62,20.78
N19-1395,PLY,LP 6L,2020,1,40,40,W,58,t,2,33,1408.2,10.6,2,42.38,21.42
N19-1395,PLY,LP 6L,2020,2,40,55,W,67,t,2,31,1098.6,11.1,2,43.2,21.21
N19-1395,PLY,LP 6L,2020,3,40,117,W,NA,t,NA,NA,1123.7,10.7,NA,43.38,20.88
N19-1468,PLY,LP 6L,2020,1,41,20,P,69,t,1.5,30,1664,13.2,2,43.19,20.99
N19-1468,PLY,LP 6L,2020,2,41,75,P,66,t,2,34,1608.7,13,1.5,42.15,22.2
N19-1468,PLY,LP 6L,2020,3,41,125,P,NA,t,NA,NA,1571,11.6,NA,41.14,21.91
N19-1485,PLY,LP 6L,2020,1,42,3,W,70,g,1.5,31,1382.3,14.2,2,46.2,19.5
N19-1485,PLY,LP 6L,2020,2,42,58,W,64,g,1.5,32,1643.1,11.7,1.5,43.46,21.25
N19-1485,PLY,LP 6L,2020,3,42,102,W,NA,g,NA,NA,1498.1,11.9,NA,44.18,20.76
Dunphy,PLY,LP 6L,2020,1,43,42,P,58,g,1.5,24,1259,13.3,2,41.7,21.96
Dunphy,PLY,LP 6L,2020,2,43,72,P,58,g,1.5,26,1305.3,15,2,43.8,21.55
Dunphy,PLY,LP 6L,2020,3,43,110,P,NA,g,NA,NA,1038.9,17.5,NA,44.71,20.53
NC-Dilday,PLY,LP 6L,2020,1,44,16,P,53,g,1.5,22,1327.2,14.3,2,40.68,23
NC-Dilday,PLY,LP 6L,2020,2,44,61,P,54,g,2,26,1411,15,2,40.36,22.88
NC-Dilday,PLY,LP 6L,2020,3,44,129,P,NA,g,NA,NA,1547.8,12.9,NA,38.8,24.01
Young,PLY,LP 6L,2020,1,45,38,W,52,g,2,31,1360.1,12.2,2,43.43,21.25
Young,PLY,LP 6L,2020,2,45,74,W,52,g,2.5,33,1139.3,12.6,2,44.56,20.74
Young,PLY,LP 6L,2020,3,45,121,W,NA,g,NA,NA,1220.1,12.6,NA,43.45,21.12
N19-1503,PLY,LP HOLL 5,2020,1,1,19,p,36,t,1.5,20,991.4,12.6,2,43.8,23.61
N19-1503,PLY,LP HOLL 5,2020,2,1,24,p,36,t,1.5,20,703,11.4,2,42.39,23.39
N19-1503,PLY,LP HOLL 5,2020,3,1,46,p,NA,t,NA,NA,1038.7,13.9,NA,43.15,23.67
N19-1506,PLY,LP HOLL 5,2020,1,2,1,w,38,t,1.5,23,904.1,13.8,1.5,42.68,22.52
N19-1506,PLY,LP HOLL 5,2020,2,2,38,w,43,t,2,28,1014.3,13.5,2,42.4,22.98
N19-1506,PLY,LP HOLL 5,2020,3,2,59,w,NA,t,NA,NA,906.9,14.5,NA,42.42,22.56
N19-1512,PLY,LP HOLL 5,2020,1,3,4,w,38,t,1.5,24,1200.3,13,1.5,40.57,23.53
N19-1512,PLY,LP HOLL 5,2020,2,3,34,w,47,t,2,24,1053.8,12.7,2,42.58,22.32
N19-1512,PLY,LP HOLL 5,2020,3,3,48,w,NA,t,NA,NA,1123.8,13.1,NA,41.93,22.65
N19-1523,PLY,LP HOLL 5,2020,1,4,18,w,39,g,1.5,22,1086.7,11.3,2,44.93,21.62
N19-1523,PLY,LP HOLL 5,2020,2,4,33,w,44,g,2,26,1122.2,11.6,2,44.72,21.34
N19-1523,PLY,LP HOLL 5,2020,3,4,52,w,NA,g,NA,NA,1151.7,12.3,NA,43.16,21.54
N19-1525,PLY,LP HOLL 5,2020,1,5,2,p,37,g,1.5,28,1280.8,11.4,2,41.54,22.49
N19-1525,PLY,LP HOLL 5,2020,2,5,37,p,41,g,1.5,28,1011.3,10.7,2,41.42,21.46
N19-1525,PLY,LP HOLL 5,2020,3,5,47,p,NA,g,NA,NA,1079.2,11.1,NA,41.72,22.12
N19-1538,PLY,LP HOLL 5,2020,1,6,12,w,36,g,1.5,16,904.6,11.9,2,41.4,22.38
N19-1538,PLY,LP HOLL 5,2020,2,6,39,w,41,g,1.5,18,844.9,11.2,2.5,43.13,21.78
N19-1538,PLY,LP HOLL 5,2020,3,6,45,w,NA,g,NA,NA,899.1,11.8,NA,41.42,22.65
N19-1539,PLY,LP HOLL 5,2020,1,7,10,w,36,g,1.5,16,725.4,11.6,2,42.74,21.99
N19-1539,PLY,LP HOLL 5,2020,2,7,35,w,42,g,1.5,18,773.8,13.1,2,42.42,21.74
N19-1539,PLY,LP HOLL 5,2020,3,7,51,w,NA,g,NA,NA,756.2,12.3,NA,41.89,22.51
N19-1547,PLY,LP HOLL 5,2020,1,8,17,p,43,t,1.5,22,1137.2,14.2,2,43.39,23.31
N19-1547,PLY,LP HOLL 5,2020,2,8,28,p,43,t,1.5,24,1156.5,14.2,2,43.21,23.95
N19-1547,PLY,LP HOLL 5,2020,3,8,60,p,NA,t,NA,NA,926.1,14.9,NA,44.82,22.24
N19-1551,PLY,LP HOLL 5,2020,1,9,13,w,36,g,1.5,24,928.2,11.3,2,42.79,22.3
N19-1551,PLY,LP HOLL 5,2020,2,9,29,w,45,g,2,28,1082.9,11.8,2.5,44.63,21.46
N19-1551,PLY,LP HOLL 5,2020,3,9,43,w,NA,g,NA,NA,1038.6,10.7,NA,43.1,22.15
N19-1572,PLY,LP HOLL 5,2020,1,10,8,p,42,t,2,22,1046.6,14.8,2,44.26,22.41
N19-1572,PLY,LP HOLL 5,2020,2,10,22,p,44,t,2,26,1469.6,14.5,2,43.68,22.59
N19-1572,PLY,LP HOLL 5,2020,3,10,57,p,NA,t,NA,NA,1068.6,14.3,NA,42.58,22.8
N19-1585,PLY,LP HOLL 5,2020,1,11,9,w,40,t,1.5,20,1065.9,14.1,1.5,42.52,22.18
N19-1585,PLY,LP HOLL 5,2020,2,11,25,w,40,t,1.5,20,875.5,13,2,42.42,22.4
N19-1585,PLY,LP HOLL 5,2020,3,11,58,w,NA,t,NA,NA,1080.6,16.2,NA,44.88,21.19
N19-1586,PLY,LP HOLL 5,2020,1,12,7,w,42,t,1.5,28,1285.1,15,2,42.69,22.24
N19-1586,PLY,LP HOLL 5,2020,2,12,31,w,48,t,1.5,24,1249.6,16.2,2,43.36,22.16
N19-1586,PLY,LP HOLL 5,2020,3,12,41,w,NA,t,NA,NA,1181.6,14.6,NA,41.55,23.46
N19-1628,PLY,LP HOLL 5,2020,1,13,15,p,47,t,1.5,24,938.4,12.6,2,42.69,22.6
N19-1628,PLY,LP HOLL 5,2020,2,13,36,p,48,t,2,20,1226.9,13.2,2,43.29,22.14
N19-1628,PLY,LP HOLL 5,2020,3,13,56,p,NA,t,NA,NA,1592.9,12,NA,41.72,23.01
N19-1634,PLY,LP HOLL 5,2020,1,14,16,w,43,t,2,23,975.1,14.8,2,43.77,22.31
N19-1634,PLY,LP HOLL 5,2020,2,14,23,w,47,t,1.5,30,1349.6,15.2,2,43.55,22.32
N19-1634,PLY,LP HOLL 5,2020,3,14,49,w,NA,t,NA,NA,1299.2,15,NA,42.6,21.71
N19-1641,PLY,LP HOLL 5,2020,1,15,6,p,43,t,1.5,22,986.1,14.1,2,41.01,23.23
N19-1641,PLY,LP HOLL 5,2020,2,15,40,p,47,t,1.5,22,1074.7,14,2,41.33,23.19
N19-1641,PLY,LP HOLL 5,2020,3,15,55,p,NA,t,NA,NA,1450.8,15.2,NA,42.16,22.81
N19-1643,PLY,LP HOLL 5,2020,1,16,5,w,44,t,1.5,26,1138.2,14,2,41.83,22.22
N19-1643,PLY,LP HOLL 5,2020,2,16,21,w,45,t,1.5,25,1249.4,14.6,2,43.1,21.85
N19-1643,PLY,LP HOLL 5,2020,3,16,50,w,NA,t,NA,NA,1084.2,13.7,NA,43.64,21.25
N19-1653,PLY,LP HOLL 5,2020,1,17,20,p,41,g,1.5,20,1057.8,12.5,2.5,42.96,21.95
N19-1653,PLY,LP HOLL 5,2020,2,17,26,p,41,g,1.5,22,965,13.9,2.5,41.09,22.3
N19-1653,PLY,LP HOLL 5,2020,3,17,53,p,NA,g,NA,NA,1189.8,14,NA,41.67,22.64
NC-Miller,PLY,LP HOLL 5,2020,1,18,11,p,43,g,1.5,22,1185.7,13.1,2,40.77,23.37
NC-Miller,PLY,LP HOLL 5,2020,2,18,32,p,45,g,1.5,26,1294.8,13.6,2,40.81,22.86
NC-Miller,PLY,LP HOLL 5,2020,3,18,42,p,NA,g,NA,NA,1077.1,14.3,NA,39.37,23.92
N16-1296,PLY,LP HOLL 5,2020,1,19,3,p,45,t,1.5,26,945.9,14.9,2,42.13,22.99
N16-1296,PLY,LP HOLL 5,2020,2,19,30,p,45,t,1.5,26,1125.2,13.8,2,42.22,22.89
N16-1296,PLY,LP HOLL 5,2020,3,19,44,p,NA,t,NA,NA,1047.8,13.8,NA,41.63,22.88
Osage,PLY,LP HOLL 5,2020,1,20,14,p,36,g,1.5,25,1320.5,11.2,2,45.82,21.08
Osage,PLY,LP HOLL 5,2020,2,20,27,p,39,g,1.5,24,1011.4,10.8,2,46.13,21.09
Osage,PLY,LP HOLL 5,2020,3,20,54,p,NA,g,NA,NA,1245.7,11.4,NA,46.55,21.19
N19-1521,CAS,LP HOLL 6,2020,1,1,7,W,19,g,2,32,1197.5,14.1,1.5,43.56,21.04
N19-1521,CAS,LP HOLL 6,2020,2,1,32,W,21,g,2,32,997,16.5,1.5,45.69,19.91
N19-1521,CAS,LP HOLL 6,2020,3,1,51,W,NA,.,NA,NA,347.7,16.1,NA,43.06,20.87
N19-1531,CAS,LP HOLL 6,2020,1,2,11,W,24,g,1.5,34,1119.2,15.1,1.5,45.22,21.33
