test,loc,year,genotype,code,rep,plot,md,ht,lod,oil_dry_basis,protein_dry_basis,yield,sdwt,sq
Jay Test 1,CAS,2020,N18-1635,2,1,4,28,36,4,20.04,45.54,33.5445,16.8,1.5
Jay Test 1,CAS,2020,N18-1635,2,2,40,26,41,4,21.49,43.59,29.5944,15.5,1.5
Jay Test 1,CAS,2020,N18-1635,2,3,60,NA,35,3,NA,NA,23.8524,15.8,2
Jay Test 1,CAS,2020,N18-1635,2,4,77,NA,46,3.5,NA,NA,38.9202,NA,NA
Jay Test 1,CAS,2020,N18-1641,3,1,10,27,36,5,20.37,44.56,18.711,19,1.5
Jay Test 1,CAS,2020,N18-1641,3,2,27,27,34,3.5,20.29,44.76,18.3348,18,1.5
Jay Test 1,CAS,2020,N18-1641,3,3,49,NA,36,4,NA,NA,22.1958,18.5,2
Jay Test 1,CAS,2020,N18-1641,3,4,65,NA,37,4,NA,NA,11.8866,NA,NA
Jay Test 1,CAS,2020,N18-1595,4,1,5,28,31,3.5,17.91,49.05,17.1864,19.4,1.5
Jay Test 1,CAS,2020,N18-1595,4,2,21,27,32,4,19.4,47.87,16.2822,19.6,1.5
Jay Test 1,CAS,2020,N18-1595,4,3,45,NA,41,4,NA,NA,16.3911,18.9,1.5
Jay Test 1,CAS,2020,N18-1595,4,4,64,NA,36,5,NA,NA,16.5561,NA,NA
Jay Test 1,CAS,2020,N18-1604,5,1,1,27,39,5,20.22,44.93,18.612,18.4,1.5
Jay Test 1,CAS,2020,N18-1604,5,2,30,27,37,4,20.61,44.76,15.3087,19.1,1.5
Jay Test 1,CAS,2020,N18-1604,5,3,48,NA,36,4,NA,NA,12.5136,19.6,2
Jay Test 1,CAS,2020,N18-1604,5,4,66,NA,36,4,NA,NA,13.9161,NA,NA
Jay Test 1,CAS,2020,N18-1632-1,6,1,9,26,33,3.5,20.71,46.9,20.4996,16.6,2
Jay Test 1,CAS,2020,N18-1632-1,6,2,38,28,31,2.5,19.35,47.51,19.7967,18.5,2
Jay Test 1,CAS,2020,N18-1632-1,6,3,41,NA,36,3.5,NA,NA,28.4592,18.4,2
Jay Test 1,CAS,2020,N18-1632-1,6,4,76,NA,36,3.5,NA,NA,18.6846,NA,NA
Jay Test 1,CAS,2020,N18-1956,7,1,19,27,42,4,20.83,45.47,19.8924,17,1.5
Jay Test 1,CAS,2020,N18-1956,7,2,39,26,42,4,20.89,45.98,21.0309,17.6,1.5
Jay Test 1,CAS,2020,N18-1956,7,3,46,NA,42,3.5,NA,NA,19.3743,17.2,2
Jay Test 1,CAS,2020,N18-1956,7,4,71,NA,31,4,NA,NA,19.1037,NA,NA
Jay Test 1,CAS,2020,N18-1572,8,1,2,28,36,4.5,20.08,45.66,13.2462,19.2,2
Jay Test 1,CAS,2020,N18-1572,8,2,25,26,36,3,19.94,45.45,14.0415,19.9,3
Jay Test 1,CAS,2020,N18-1572,8,3,43,NA,34,4,NA,NA,12.4608,18.6,3
Jay Test 1,CAS,2020,N18-1572,8,4,70,NA,35,4,NA,NA,10.0485,NA,NA
Jay Test 1,CAS,2020,N18-1751,9,1,11,27,32,4,19.98,45.69,10.9032,18.7,3
Jay Test 1,CAS,2020,N18-1751,9,2,23,29,34,4,19.32,46.57,12.1968,20.6,3
Jay Test 1,CAS,2020,N18-1751,9,3,50,NA,33,4,NA,NA,10.8042,18.5,3
Jay Test 1,CAS,2020,N18-1751,9,4,75,NA,31,3.5,NA,NA,14.5299,NA,NA
Jay Test 1,CAS,2020,N18-1855,10,1,12,29,37,3,19.81,48.23,32.0925,19.7,2
Jay Test 1,CAS,2020,N18-1855,10,2,31,27,37,3.5,19.78,49.07,29.9772,19.7,2
Jay Test 1,CAS,2020,N18-1855,10,3,52,NA,36,3.5,NA,NA,30.5745,20.4,3
Jay Test 1,CAS,2020,N18-1855,10,4,67,NA,35,3,NA,NA,34.9833,NA,NA
Jay Test 1,CAS,2020,N18-1620,11,1,14,28,36,3,19.4,45.98,18.7737,19.2,2
Jay Test 1,CAS,2020,N18-1620,11,2,32,27,35,4,20.31,45.61,22.9449,19.7,3
Jay Test 1,CAS,2020,N18-1620,11,3,53,NA,36,3.5,NA,NA,8.4348,20.3,3
Jay Test 1,CAS,2020,N18-1620,11,4,61,NA,35,3.5,NA,NA,22.9515,NA,NA
Jay Test 1,CAS,2020,N18-1763,12,1,13,29,43,3,18.34,50.25,12.3519,20,2
Jay Test 1,CAS,2020,N18-1763,12,2,37,29,32,3.5,18.06,49.97,16.4637,19.9,3
Jay Test 1,CAS,2020,N18-1763,12,3,51,NA,35,3.5,NA,NA,22.572,19,2
Jay Test 1,CAS,2020,N18-1763,12,4,72,NA,30,4,NA,NA,17.2788,NA,NA
Jay Test 1,CAS,2020,N18-1682,13,1,16,29,36,3,18.21,46.97,15.7212,18.5,2
Jay Test 1,CAS,2020,N18-1682,13,2,22,27,35,4,19.83,45.91,11.1111,18.9,2
Jay Test 1,CAS,2020,N18-1682,13,3,57,NA,33,3.5,NA,NA,9.2136,18.4,3
Jay Test 1,CAS,2020,N18-1682,13,4,69,NA,36,4,NA,NA,12.0351,NA,NA
Jay Test 1,CAS,2020,N18-1731,14,1,15,29,41,3,19.68,47.59,20.9319,19.7,3.5
Jay Test 1,CAS,2020,N18-1731,14,2,29,27,41,3.5,20,46.95,22.0902,19.5,3
Jay Test 1,CAS,2020,N18-1731,14,3,59,NA,38,3,NA,NA,23.0043,19.4,3
Jay Test 1,CAS,2020,N18-1731,14,4,80,NA,40,3.5,NA,NA,21.846,NA,NA
Jay Test 1,CAS,2020,N18-1632-2,15,1,17,29,35,3,18.97,48.6,14.1999,18,3.5
Jay Test 1,CAS,2020,N18-1632-2,15,2,36,29,31,3,20.09,48.06,25.7334,17.9,3
Jay Test 1,CAS,2020,N18-1632-2,15,3,42,NA,33,3,NA,NA,22.7238,18.5,3
Jay Test 1,CAS,2020,N18-1632-2,15,4,68,NA,30,3.5,NA,NA,21.2652,NA,NA
Jay Test 1,CAS,2020,Dunphy,16,1,18,26,29,2.5,20.8,42.3,28.314,17.7,1.5
Jay Test 1,CAS,2020,Dunphy,16,2,24,27,31,2.5,19.81,43.35,30.0993,18.5,1.5
Jay Test 1,CAS,2020,Dunphy,16,3,58,NA,30,2.5,NA,NA,23.2617,17.9,1.5
Jay Test 1,CAS,2020,Dunphy,16,4,63,NA,29,2.5,NA,NA,27.5352,NA,NA
Jay Test 1,CAS,2020,Dilday,17,1,20,28,25,4,21.25,42.84,15.8994,18.9,2
Jay Test 1,CAS,2020,Dilday,17,2,35,29,32,2.5,20.15,44.25,15.0282,17.6,2.5
Jay Test 1,CAS,2020,Dilday,17,3,44,NA,35,4,NA,NA,18.8034,19,2.5
Jay Test 1,CAS,2020,Dilday,17,4,74,NA,35,3.5,NA,NA,30.7758,NA,NA
Jay Test 1,CAS,2020,NC-Raleigh,18,1,7,29,37,4,23.35,40.15,33.3696,13.1,1.5
Jay Test 1,CAS,2020,NC-Raleigh,18,2,34,30,42,4,23.51,40.37,20.1894,13.8,1.5
Jay Test 1,CAS,2020,NC-Raleigh,18,3,54,NA,36,4,NA,NA,30.0597,13.8,1.5
Jay Test 1,CAS,2020,NC-Raleigh,18,4,62,NA,38,4,NA,NA,26.1228,NA,NA
Jay Test 1,CAS,2020,LMN09-119,19,1,8,28,41,4,16.38,53.47,17.0676,19.4,3
Jay Test 1,CAS,2020,LMN09-119,19,2,26,27,38,3,16.45,53.81,18.7044,20.3,3
Jay Test 1,CAS,2020,LMN09-119,19,3,47,NA,35,3.5,NA,NA,16.6914,19.2,3
Jay Test 1,CAS,2020,LMN09-119,19,4,79,NA,41,3.5,NA,NA,24.4959,NA,NA
Jay Test 1,CAS,2020,N09-09,20,1,6,29,37,3.5,19.18,47.47,26.9049,16.3,1.5
Jay Test 1,CAS,2020,N09-09,20,2,28,28,34,3.5,19.78,45.76,25.4661,16.8,1.5
Jay Test 1,CAS,2020,N09-09,20,3,55,NA,37,3.5,NA,NA,19.6581,18.3,1.5
Jay Test 1,CAS,2020,N09-09,20,4,73,NA,37,4,NA,NA,29.6439,NA,NA
Jay Test 2,CLA,2020,N18-1575,1,1,16,56,34,2.5,20.78,47.04,43.8966,17,1.5
Jay Test 2,CLA,2020,N18-1575,1,2,27,56,34,2,19.38,50.09,44.4114,18.8,1.5
Jay Test 2,CLA,2020,N18-1575,1,3,51,55,39,2.5,NA,NA,48.9357,17.5,1.5
Jay Test 2,CLA,2020,N18-1575,1,4,79,NA,36,2,NA,NA,33.9669,NA,1.5
Jay Test 2,CLA,2020,N18-1579,2,1,1,53,38,3,20.58,45.24,55.5951,15,1.5
Jay Test 2,CLA,2020,N18-1579,2,2,40,49,41,3,20.18,45.14,53.1366,13.6,2
Jay Test 2,CLA,2020,N18-1579,2,3,53,53,40,2,NA,NA,50.4075,14.8,2
Jay Test 2,CLA,2020,N18-1579,2,4,72,NA,35,1.5,NA,NA,33.0759,NA,1.5
Jay Test 2,CLA,2020,N18-1628,3,1,2,61,40,4,18.66,50.33,45.6126,15,2
Jay Test 2,CLA,2020,N18-1628,3,2,34,59,38,3,18.73,50.09,38.5902,14,2.5
Jay Test 2,CLA,2020,N18-1628,3,3,43,57,42,3.5,NA,NA,48.5364,14.8,2.5
Jay Test 2,CLA,2020,N18-1628,3,4,76,NA,35,2.5,NA,NA,26.1063,NA,2
Jay Test 2,CLA,2020,N18-1615,4,1,20,58,40,2.5,20.75,45.37,60.8784,17.4,1.5
Jay Test 2,CLA,2020,N18-1615,4,2,36,54,36,2,21.17,44.3,56.0703,16.6,1.5
Jay Test 2,CLA,2020,N18-1615,4,3,47,53,38,1.5,NA,NA,50.5857,17.2,1.5
Jay Test 2,CLA,2020,N18-1615,4,4,73,NA,34,1,NA,NA,46.2297,NA,1.5
Jay Test 2,CLA,2020,N18-1796,5,1,8,55,38,3,19.28,48.08,49.6716,14.2,1.5
Jay Test 2,CLA,2020,N18-1796,5,2,22,54,40,3.5,18.83,49.6,55.0605,13.4,2
Jay Test 2,CLA,2020,N18-1796,5,3,44,55,36,2.5,NA,NA,43.9428,14.1,2
Jay Test 2,CLA,2020,N18-1796,5,4,63,NA,37,2.5,NA,NA,48.1371,NA,1.5
Jay Test 2,CLA,2020,N18-1659,6,1,3,55,36,3.5,19.11,48.65,58.3407,14.7,2
Jay Test 2,CLA,2020,N18-1659,6,2,29,53,38,2,18.08,49.94,49.3482,14.4,2
Jay Test 2,CLA,2020,N18-1659,6,3,42,55,36,4,NA,NA,47.5893,14.9,2
Jay Test 2,CLA,2020,N18-1659,6,4,61,NA,35,2,NA,NA,40.9827,NA,2
Jay Test 2,CLA,2020,N18-1643,7,1,6,56,32,2,20.08,46.23,52.4205,15.7,2
Jay Test 2,CLA,2020,N18-1643,7,2,26,56,30,2,21.12,44.37,47.5101,15.8,2
Jay Test 2,CLA,2020,N18-1643,7,3,59,53,34,2,NA,NA,53.0409,15.6,1.5
Jay Test 2,CLA,2020,N18-1643,7,4,75,NA,30,1,NA,NA,24.6675,NA,2.5
Jay Test 2,CLA,2020,N18-1661,8,1,9,55,40,3.5,21.07,45.13,58.41,14.5,2
Jay Test 2,CLA,2020,N18-1661,8,2,32,53,40,3,20.92,45.13,52.9386,14.4,2
Jay Test 2,CLA,2020,N18-1661,8,3,41,55,42,3.5,NA,NA,52.7406,14.3,2.5
Jay Test 2,CLA,2020,N18-1661,8,4,69,NA,35,3,NA,NA,40.392,NA,2.5
Jay Test 2,CLA,2020,N18-1761,9,1,14,50,32,1.5,18.88,50,52.2423,15.5,2
Jay Test 2,CLA,2020,N18-1761,9,2,31,50,36,2,18.29,50.56,49.764,16.1,2
Jay Test 2,CLA,2020,N18-1761,9,3,48,51,34,1.5,NA,NA,51.9387,15.7,2.5
Jay Test 2,CLA,2020,N18-1761,9,4,70,NA,33,2,NA,NA,43.6095,NA,2
Jay Test 2,CLA,2020,N18-1820,10,1,15,55,30,3.5,21.33,43.61,46.2561,16.2,2
Jay Test 2,CLA,2020,N18-1820,10,2,28,55,34,3,20.36,46.51,53.0739,16.5,2
Jay Test 2,CLA,2020,N18-1820,10,3,55,53,34,2.5,NA,NA,52.2786,16.7,2
Jay Test 2,CLA,2020,N18-1820,10,4,65,NA,30,1.5,NA,NA,39.0324,NA,2
Jay Test 2,CLA,2020,N18-1586,11,1,17,55,33,2.5,20.17,47.02,54.1167,13.4,1
Jay Test 2,CLA,2020,N18-1586,11,2,21,55,35,3,20.13,47.75,51.1896,14.1,1.5
Jay Test 2,CLA,2020,N18-1586,11,3,60,53,34,2.5,NA,NA,46.9128,14.3,2
Jay Test 2,CLA,2020,N18-1586,11,4,68,NA,32,2,NA,NA,41.3919,NA,2.5
Jay Test 2,CLA,2020,N18-1577,12,1,19,52,37,3.5,19.35,49.61,54.5721,15.4,2
Jay Test 2,CLA,2020,N18-1577,12,2,35,61,36,3,18.11,50.35,42.8769,16.5,2
Jay Test 2,CLA,2020,N18-1577,12,3,45,56,36,3,NA,NA,42.7053,14.7,2
Jay Test 2,CLA,2020,N18-1577,12,4,78,NA,34,2.5,NA,NA,36.0888,NA,1.5
Jay Test 2,CLA,2020,N18-1627,13,1,4,53,35,2,20.03,47.29,58.5915,20.7,2
Jay Test 2,CLA,2020,N18-1627,13,2,37,52,36,2,19.91,46.94,59.5254,20.4,2
Jay Test 2,CLA,2020,N18-1627,13,3,58,53,36,2,NA,NA,59.532,18.4,1.5
