genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,notes,note1,note2,nir_no,date_time_of_analysis,moisture,oil_dry_basis,protein_dry_basis,linoleic_acid_dry_basis,linolenic_acid_dry_basis,oleic_acid_dry_basis,palmitic_acid_dry_basis,stearic_acid_dry_basis,bar_code,twt_moisture,twt_weight,twt_temperature,twt_date_time,...10
N19-0609,CAS,LO-HP 5,2021,4,6,77,S,NA,s,NA,NA,661.1,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,59.5,71.4,2022-02-02T11:21:34Z,NA
N19-0668,CAS,LO-HP 5,2021,1,7,16,P,14,g,1.5,33,2361,12.1,1.5,NA,P-NL,NA,NIR-07229,2022-02-16T13:25:43Z,6.69,20.86,42.69,61.95,10.02,8.31,13.62,4.47,2021_CAS_LO-HP 5_7_N19-0668_1_NIR-07229,6.5,55.7,67.1,2022-02-02T11:22:39Z,NA
N19-0668,CAS,LO-HP 5,2021,2,7,33,P,14,g,2.5,38,2192.5,13.2,1.5,NA,P-NL?,NA,NIR-07230,2022-02-16T13:26:14Z,6.68,21.11,44.19,63.48,9.56,10.56,12.53,4.18,2021_CAS_LO-HP 5_7_N19-0668_2_NIR-07230,6.4,56,68.6,2022-02-02T11:23:10Z,NA
N19-0668,CAS,LO-HP 5,2021,3,7,50,P,NA,g,NA,37,1312.7,12.5,NA,NA,P-NL?,NA,NIR-07231,2022-02-16T13:26:42Z,6.02,20.9,43.61,59.26,9.35,16.02,12.8,4.13,2021_CAS_LO-HP 5_7_N19-0668_3_NIR-07231,6.3,56.3,67.8,2022-02-02T11:23:40Z,NA
N19-0668,CAS,LO-HP 5,2021,4,7,76,P,NA,g,NA,NA,1796.2,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,56.8,74,2022-02-02T11:24:13Z,NA
N19-1157,CAS,LO-HP 5,2021,1,8,14,P,19,g,1.5,32,2371.6,17.6,1.5,NA,NA,NA,NIR-07232,2022-02-16T13:27:13Z,6.08,21.63,46.48,61.06,8.59,13.47,12.25,3.71,2021_CAS_LO-HP 5_8_N19-1157_1_NIR-07232,6.5,54.6,67.2,2022-02-02T11:25:19Z,NA
N19-1157,CAS,LO-HP 5,2021,2,8,37,P,19,g,1.5,33,2525.6,17.5,1.5,NA,NA,NA,NIR-07233,2022-02-16T13:27:43Z,6.1,22.15,45.08,62.68,7.94,13.04,12.92,3.67,2021_CAS_LO-HP 5_8_N19-1157_2_NIR-07233,6.3,54.9,68.1,2022-02-02T11:25:50Z,NA
N19-1157,CAS,LO-HP 5,2021,3,8,49,P,NA,g,NA,36,1669,16.6,NA,NA,NA,NA,NIR-07234,2022-02-16T13:28:12Z,5.79,21.15,47.12,63.21,8.16,12.13,12.13,3.88,2021_CAS_LO-HP 5_8_N19-1157_3_NIR-07234,6.5,55.2,66.9,2022-02-02T11:26:19Z,NA
N19-1157,CAS,LO-HP 5,2021,4,8,78,P,NA,g,NA,NA,848.1,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,56.3,72.5,2022-02-02T11:26:55Z,NA
N19-1161,CAS,LO-HP 5,2021,1,9,19,W,19,t,2,40,2733,15.4,1,NA,NA,NA,NIR-07235,2022-02-16T13:28:43Z,6.91,21.44,44.75,67.69,8.87,9.67,12.71,4.06,2021_CAS_LO-HP 5_9_N19-1161_1_NIR-07235,6.8,56,66.5,2022-02-02T11:28:03Z,NA
N19-1161,CAS,LO-HP 5,2021,2,9,27,W,19,t,1.5,42,2477,15.3,1,NA,NA,NA,NIR-07236,2022-02-16T13:29:12Z,7.49,21.48,44.6,61.36,8.98,13.82,12.72,4.16,2021_CAS_LO-HP 5_9_N19-1161_2_NIR-07236,6.6,56.8,66.6,2022-02-02T11:28:36Z,NA
N19-1161,CAS,LO-HP 5,2021,3,9,52,W,NA,t,NA,37,1967.7,16.4,NA,NA,NA,NA,NIR-07237,2022-02-16T13:29:47Z,6.7,21.33,45.43,62.95,8.72,13.85,12.28,3.81,2021_CAS_LO-HP 5_9_N19-1161_3_NIR-07237,6.6,57.1,67.4,2022-02-02T11:29:07Z,NA
N19-1161,CAS,LO-HP 5,2021,4,9,79,W,NA,t,NA,NA,1733.7,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,56.4,75.7,2022-02-02T11:29:38Z,NA
RM19-3852,CAS,LO-HP 5,2021,1,10,17,s,14,g,1,28,1977.4,13.8,1.5,NA,S-NL?,NA,NIR-07238,2022-02-16T13:30:14Z,6.45,19.8,46.77,63.58,9.01,10.12,12.99,4.19,2021_CAS_LO-HP 5_10_RM19-3852_1_NIR-07238,6.5,56.3,67.6,2022-02-02T11:30:40Z,NA
RM19-3852,CAS,LO-HP 5,2021,2,10,26,P,14,g,1,30,2342.3,13.8,1.5,NA,NA,NA,NIR-07239,2022-02-16T13:30:44Z,6.97,19.66,46.59,62.93,9.42,12.72,11.99,4.29,2021_CAS_LO-HP 5_10_RM19-3852_2_NIR-07239,6.7,56.7,66.1,2022-02-02T11:31:12Z,NA
RM19-3852,CAS,LO-HP 5,2021,3,10,53,P,NA,g,NA,29,1340.8,12.7,NA,NA,NA,NA,NIR-07240,2022-02-16T13:31:14Z,6.48,19.77,47.13,61.92,10.11,12.23,11.93,4.16,2021_CAS_LO-HP 5_10_RM19-3852_3_NIR-07240,6.4,57.3,67.3,2022-02-02T11:31:42Z,NA
RM19-3852,CAS,LO-HP 5,2021,4,10,69,s,NA,g,NA,NA,870.9,12.1,NA,NA,S-NL?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,57.9,71.5,2022-02-02T11:32:15Z,NA
RM19-3862,CAS,LO-HP 5,2021,1,11,11,P,18,t,1.5,39,2761.5,17.7,1.5,NA,NA,NA,NIR-07241,2022-02-16T13:31:42Z,6.94,19.8,51.18,64.27,9.2,10.41,11.36,4.1,2021_CAS_LO-HP 5_11_RM19-3862_1_NIR-07241,6.7,56.1,67.7,2022-02-02T11:33:26Z,NA
RM19-3862,CAS,LO-HP 5,2021,2,11,36,P,18,t,2,44,2781.6,16.9,1.5,NA,NA,NA,NIR-07242,2022-02-16T13:32:07Z,6.99,20.78,50.4,65.68,9,8.6,11.44,4.01,2021_CAS_LO-HP 5_11_RM19-3862_2_NIR-07242,6.7,56.3,65.7,2022-02-02T11:33:57Z,NA
RM19-3862,CAS,LO-HP 5,2021,3,11,45,P,NA,t,NA,40,2737.3,17.4,NA,NA,NA,NA,NIR-07243,2022-02-16T13:32:34Z,7.01,20.51,50.33,67.2,9.03,7.69,11.34,4.07,2021_CAS_LO-HP 5_11_RM19-3862_3_NIR-07243,6.5,56.1,68.8,2022-02-02T11:34:26Z,NA
RM19-3862,CAS,LO-HP 5,2021,4,11,61,P,NA,t,NA,NA,906.4,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,57.5,74.5,2022-02-02T11:35:05Z,NA
RM19-3864,CAS,LO-HP 5,2021,1,12,4,P,15,t,1,34,2797.5,16.2,1.5,NA,NA,NA,NIR-07244,2022-02-16T13:32:59Z,7.41,20.41,49.88,67.06,9.5,7.11,11.42,3.92,2021_CAS_LO-HP 5_12_RM19-3864_1_NIR-07244,6.6,55.2,69.7,2022-02-02T11:36:19Z,NA
RM19-3864,CAS,LO-HP 5,2021,2,12,25,P,18,t,1.5,32,2764.7,16.5,1.5,NA,NA,NA,NIR-07245,2022-02-16T13:33:29Z,7.21,19.67,49.8,67.55,9.85,5.93,11.56,4.11,2021_CAS_LO-HP 5_12_RM19-3864_2_NIR-07245,6.9,55.8,67.3,2022-02-02T11:36:49Z,NA
RM19-3864,CAS,LO-HP 5,2021,3,12,57,P,NA,t,NA,36,1956.7,15.2,NA,NA,NA,NA,NIR-07246,2022-02-16T13:33:58Z,6.99,20.93,48.49,67.01,9.13,7.95,11.51,4.06,2021_CAS_LO-HP 5_12_RM19-3864_3_NIR-07246,6.7,56.1,68.3,2022-02-02T11:37:20Z,NA
RM19-3864,CAS,LO-HP 5,2021,4,12,63,P,NA,t,NA,NA,1249.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,56.3,75,2022-02-02T11:37:48Z,NA
RM19-3865,CAS,LO-HP 5,2021,1,13,2,P,18,t,1.5,40,2572.6,17,1.5,NA,NA,NA,NIR-07247,2022-02-16T13:34:25Z,6.99,18.84,51.69,65.89,9.5,8.08,11.71,4.14,2021_CAS_LO-HP 5_13_RM19-3865_1_NIR-07247,6.6,54.9,67.3,2022-02-02T11:38:51Z,NA
RM19-3865,CAS,LO-HP 5,2021,2,13,30,P,18,t,2,35,2733.3,17.2,1.5,NA,NA,NA,NIR-07248,2022-02-16T13:34:49Z,7.2,18.99,51.07,67.06,9.55,7.43,11.61,4.3,2021_CAS_LO-HP 5_13_RM19-3865_2_NIR-07248,6.7,55.5,67.1,2022-02-02T11:39:26Z,NA
RM19-3865,CAS,LO-HP 5,2021,3,13,60,P,NA,t,NA,36,1382.6,15.8,NA,NA,NA,NA,NIR-07249,2022-02-16T13:35:15Z,6.96,18.73,50.51,63.06,9.58,10.53,11.74,4.27,2021_CAS_LO-HP 5_13_RM19-3865_3_NIR-07249,6.7,55.9,68.7,2022-02-02T11:39:58Z,NA
RM19-3865,CAS,LO-HP 5,2021,4,13,70,P,NA,t,NA,NA,1298.4,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,56.2,73.3,2022-02-02T11:40:59Z,NA
RM19-3880,CAS,LO-HP 5,2021,1,14,6,P,17,g,1.5,30,2157.3,13.6,1.5,NA,NA,NA,NIR-07250,2022-02-16T13:35:43Z,6.37,20.71,44.06,62.15,9.28,11.43,13.16,4.12,2021_CAS_LO-HP 5_14_RM19-3880_1_NIR-07250,6.7,56.6,67.5,2022-02-02T11:42:01Z,NA
RM19-3880,CAS,LO-HP 5,2021,2,14,39,P,15,g,2,36,2272.5,14.5,1.5,NA,P-NL?,NA,NIR-07251,2022-02-16T13:36:09Z,6.06,20.64,45.99,60.94,9.38,12.14,12.61,4.23,2021_CAS_LO-HP 5_14_RM19-3880_2_NIR-07251,6.6,56.5,67.2,2022-02-02T11:42:34Z,NA
RM19-3880,CAS,LO-HP 5,2021,3,14,54,P,NA,g,NA,34,1891,14.1,NA,NA,NA,NA,NIR-07252,2022-02-16T13:36:33Z,6.57,20.23,46.09,60.31,10.51,11.57,11.9,4,2021_CAS_LO-HP 5_14_RM19-3880_3_NIR-07252,6.5,57.3,69.7,2022-02-02T11:43:04Z,NA
RM19-3880,CAS,LO-HP 5,2021,4,14,73,P,NA,g,NA,NA,409.7,12,NA,NA,P-NL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,58.5,74.9,2022-02-02T11:43:36Z,NA
RM19-3882,CAS,LO-HP 5,2021,1,15,18,W,18,t,2,40,2484.6,15.1,1.5,NA,NA,NA,NIR-07253,2022-02-16T13:37:01Z,7.21,20.1,46.88,63.96,9.71,10.92,11.84,4.11,2021_CAS_LO-HP 5_15_RM19-3882_1_NIR-07253,6.7,57.5,68.1,2022-02-02T11:44:42Z,NA
RM19-3882,CAS,LO-HP 5,2021,2,15,34,W,19,t,2,43,2655.9,14.9,1.5,NA,NA,NA,NIR-07254,2022-02-16T13:37:26Z,7.16,20.63,45.94,61.01,9.79,13.46,12.93,4.29,2021_CAS_LO-HP 5_15_RM19-3882_2_NIR-07254,6.7,57.1,68.3,2022-02-02T11:45:11Z,NA
RM19-3882,CAS,LO-HP 5,2021,3,15,43,W,NA,t,NA,41,2455,14.8,NA,NA,NA,NA,NIR-07255,2022-02-16T13:37:52Z,7.15,20.06,47.11,64.97,9.74,9.18,12.1,4.13,2021_CAS_LO-HP 5_15_RM19-3882_3_NIR-07255,6.7,57.2,67.7,2022-02-02T11:46:07Z,NA
RM19-3882,CAS,LO-HP 5,2021,4,15,64,W,NA,t,NA,NA,2037,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,57.1,75.9,2022-02-02T11:47:05Z,NA
RM19-3883,CAS,LO-HP 5,2021,1,16,20,S,16,g,1.5,38,2479.2,16.1,1.5,NA,NA,NA,NIR-07256,2022-02-16T13:38:40Z,6.49,19.7,47.86,66.28,9.9,6.87,12.77,4.26,2021_CAS_LO-HP 5_16_RM19-3883_1_NIR-07256,6.6,55.2,69.4,2022-02-02T11:48:06Z,NA
RM19-3883,CAS,LO-HP 5,2021,2,16,22,S,16,g,1.5,40,2451.3,16.2,1.5,NA,NA,NA,NIR-07257,2022-02-16T13:39:16Z,6.67,20.48,47.56,62.29,9.77,11.29,12.03,4.31,2021_CAS_LO-HP 5_16_RM19-3883_2_NIR-07257,6.5,55.2,67.7,2022-02-02T11:48:36Z,NA
RM19-3883,CAS,LO-HP 5,2021,3,16,42,S,NA,g,NA,40,2354.5,15.5,NA,NA,NA,NA,NIR-07258,2022-02-16T13:39:44Z,6.39,20.03,47.08,63.55,9.59,10.09,12.74,4.07,2021_CAS_LO-HP 5_16_RM19-3883_3_NIR-07258,6.5,55.4,68.5,2022-02-02T11:49:09Z,NA
RM19-3883,CAS,LO-HP 5,2021,4,16,74,S,NA,g,NA,NA,1248.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,56.3,72.8,2022-02-02T11:49:42Z,NA
V14-3508,CAS,LO-HP 5,2021,1,17,13,W,12,t,1.5,36,2078,17.1,1.5,NA,NA,NA,NIR-07259,2022-02-16T13:40:10Z,5.69,23.42,42.58,57.61,8.46,17.87,11.54,3.85,2021_CAS_LO-HP 5_17_V14-3508_1_NIR-07259,NA,NA,NA,NA,NA
V14-3508,CAS,LO-HP 5,2021,2,17,35,W,12,t,2,34,1848,16.4,1.5,NA,NA,NA,NIR-07260,2022-02-16T13:40:35Z,6.56,22.61,43.45,55.51,8.31,21.76,12.13,3.97,2021_CAS_LO-HP 5_17_V14-3508_2_NIR-07260,NA,NA,NA,NA,NA
V14-3508,CAS,LO-HP 5,2021,3,17,48,W,NA,t,NA,37,1892.7,16.3,NA,NA,NA,NA,NIR-07261,2022-02-16T13:40:59Z,6.14,22.88,43.35,53.97,8.15,20.23,12.29,4.52,2021_CAS_LO-HP 5_17_V14-3508_3_NIR-07261,NA,NA,NA,NA,NA
V14-3508,CAS,LO-HP 5,2021,4,17,72,W,NA,t,NA,NA,715,13.3,NA,NA,NA,bad plot shattered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellis,CAS,LO-HP 5,2021,1,18,10,W,13,g,1,32,2767.7,12.7,1.5,NA,NA,NA,NIR-07262,2022-02-16T13:41:25Z,5.9,22.57,41.77,65.49,8.35,9.91,12.99,3.7,2021_CAS_LO-HP 5_18_Ellis_1_NIR-07262,6.2,55.2,69.3,2022-02-02T11:53:20Z,NA
Ellis,CAS,LO-HP 5,2021,2,18,21,W,13,g,1,33,2678.7,12.6,1.5,NA,NA,NA,NIR-07263,2022-02-16T13:41:53Z,5.91,22.86,40.83,67.38,8.58,7.85,12.26,3.57,2021_CAS_LO-HP 5_18_Ellis_2_NIR-07263,6.5,55.1,67.2,2022-02-02T11:53:49Z,NA
Ellis,CAS,LO-HP 5,2021,3,18,59,W,NA,g,NA,26,1451.3,10.9,NA,NA,NA,W-NL,NIR-07264,2022-02-16T13:42:33Z,5.99,23.48,39.93,62.94,8.44,13.15,12.34,3.95,2021_CAS_LO-HP 5_18_Ellis_3_NIR-07264,5.9,55.1,68.6,2022-02-02T11:54:43Z,NA
Ellis,CAS,LO-HP 5,2021,4,18,71,M,NA,s,NA,NA,447.4,9.4,NA,NA,bad plot,M-PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,55.9,72.5,2022-02-02T11:55:15Z,NA
Osage,CAS,LO-HP 5,2021,1,19,9,P,14,g,1,32,2791.5,13.4,1.5,NA,NA,NA,NIR-07265,2022-02-16T13:42:59Z,5.86,22.23,43.81,62.11,8.19,12.32,12.85,3.7,2021_CAS_LO-HP 5_19_Osage_1_NIR-07265,6.5,54.9,68.7,2022-02-02T11:56:31Z,NA
Osage,CAS,LO-HP 5,2021,2,19,31,P,14,g,1,32,2570.3,13.3,1.5,NA,NA,NA,NIR-07266,2022-02-16T13:43:25Z,5.86,21.85,43.54,58.89,8.9,16.72,12.67,3.97,2021_CAS_LO-HP 5_19_Osage_2_NIR-07266,6.4,55.4,71.9,2022-02-02T11:57:30Z,NA
Osage,CAS,LO-HP 5,2021,3,19,51,P,NA,g,NA,27,1329.1,11.9,NA,NA,NA,NA,NIR-07267,2022-02-16T13:43:55Z,5.98,22.49,43.98,57.67,8.25,19.17,11.83,4.32,2021_CAS_LO-HP 5_19_Osage_3_NIR-07267,6.3,55.5,69.4,2022-02-02T11:58:01Z,NA
Osage,CAS,LO-HP 5,2021,4,19,75,P,NA,g,NA,NA,1721.2,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,55.9,70.5,2022-02-02T11:58:32Z,NA
N16-600,CAS,LO-HP 5,2021,1,20,1,P,15,t,1,36,2683.1,14.3,1.5,NA,NA,NA,NIR-07268,2022-02-16T13:44:22Z,6.64,20.8,46.6,65.07,8.74,9.94,12.14,4.3,2021_CAS_LO-HP 5_20_N16-600_1_NIR-07268,6.6,57.1,71.6,2022-02-02T11:59:42Z,NA
N16-600,CAS,LO-HP 5,2021,2,20,40,P,13,t,1,33,2301.3,12.9,1.5,NA,NA,NA,NIR-07269,2022-02-16T13:44:49Z,6.91,21.09,45.8,61.47,8.73,15.02,11.32,4.12,2021_CAS_LO-HP 5_20_N16-600_2_NIR-07269,6.7,57.2,68.7,2022-02-02T12:00:11Z,NA
N16-600,CAS,LO-HP 5,2021,3,20,47,P,NA,t,NA,36,2594.9,13.2,NA,NA,NA,NA,NIR-07270,2022-02-16T13:45:16Z,6.47,21.9,45.29,64.34,8.06,9.85,13.04,4.49,2021_CAS_LO-HP 5_20_N16-600_3_NIR-07270,6.4,57.4,71,2022-02-02T12:00:41Z,NA
N16-600,CAS,LO-HP 5,2021,4,20,67,P,NA,t,NA,NA,924.6,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,58.2,70.5,2022-02-02T12:01:13Z,NA
N19-0302,PLY,LO-HP 5,2021,1,1,18,p,7,t,1.5,34,1648.3,13.6,1.5,NA,NA,NA,NIR-07271,2022-01-18T11:09:40Z,7.12,20.33,47.64,65,9.67,10.11,11.44,4.06,2021_PLY_LO-HP 5_1_N19-0302_1_NIR-07271,7.2,57.5,64.5,2022-01-18T06:39:52Z,NA
N19-0302,PLY,LO-HP 5,2021,2,1,24,p,9,t,1.5,34,1928.8,15.2,1.5,NA,NA,NA,NIR-07272,2022-01-18T11:10:18Z,7.91,20.56,48.09,63.72,9.7,10.55,11.74,4.24,2021_PLY_LO-HP 5_1_N19-0302_2_NIR-07272,7.3,55.8,64,2022-01-18T06:40:35Z,NA
N19-0302,PLY,LO-HP 5,2021,3,1,47,p,NA,t,NA,NA,1979.6,14.9,NA,NA,NA,NA,NIR-07273,2022-01-18T11:10:57Z,7.8,20.71,48,64.71,9.43,9.2,11.38,4.19,2021_PLY_LO-HP 5_1_N19-0302_3_NIR-07273,7.3,56.6,64.6,2022-01-18T06:41:13Z,NA
N19-0302,PLY,LO-HP 5,2021,4,1,72,p,NA,t,NA,NA,2006.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,57.4,65.5,2022-01-18T06:41:47Z,NA
N19-0306,PLY,LO-HP 5,2021,1,2,13,p,5,t,1,30,1484.4,15.9,1.5,NA,NA,NA,NIR-07274,2022-01-18T11:11:29Z,7.89,19.21,49.8,63.73,9.33,10.12,11.05,4.11,2021_PLY_LO-HP 5_2_N19-0306_1_NIR-07274,7.1,55.9,64.7,2022-01-18T06:42:58Z,NA
N19-0306,PLY,LO-HP 5,2021,2,2,35,p,6,t,1.5,31,1786.5,16.3,1.5,NA,NA,NA,NIR-07275,2022-01-18T11:12:08Z,7.64,20.2,49.2,62.21,9.04,11.13,11.32,4.21,2021_PLY_LO-HP 5_2_N19-0306_2_NIR-07275,7.1,56.1,64.5,2022-01-18T06:43:36Z,NA
N19-0306,PLY,LO-HP 5,2021,3,2,52,p,NA,t,NA,NA,1845.2,16.2,NA,NA,NA,NA,NIR-07276,2022-01-18T11:12:41Z,7.14,20.46,48.5,63.13,9.03,11.9,11.23,4.31,2021_PLY_LO-HP 5_2_N19-0306_3_NIR-07276,7.1,55.9,65.5,2022-01-18T06:44:31Z,NA
N19-0306,PLY,LO-HP 5,2021,4,2,74,p,NA,t,NA,NA,1869.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,55.5,64.9,2022-01-18T06:45:17Z,NA
N19-0307,PLY,LO-HP 5,2021,1,3,16,s,8,t,1.5,34,1930.3,13.5,1.5,NA,NA,NA,NIR-07277,2022-01-18T11:13:18Z,7.7,18.97,47.15,66.52,11.45,6.38,11.08,4.05,2021_PLY_LO-HP 5_3_N19-0307_1_NIR-07277,7.1,58.4,64,2022-01-18T06:46:03Z,NA
N19-0307,PLY,LO-HP 5,2021,2,3,21,s,8,t,1,34,2193.4,13.2,1.5,NA,NA,NA,NIR-07278,2022-01-18T11:14:00Z,7.38,18.88,48.13,65.05,10.72,8.08,11.97,4.46,2021_PLY_LO-HP 5_3_N19-0307_2_NIR-07278,7.1,58.1,65,2022-01-18T06:46:53Z,NA
N19-0307,PLY,LO-HP 5,2021,3,3,56,s,NA,t,NA,NA,2135.5,14.5,NA,NA,NA,NA,NIR-07279,2022-01-18T11:14:32Z,7.31,18.41,47.93,63.38,10.9,9.94,11.22,4.17,2021_PLY_LO-HP 5_3_N19-0307_3_NIR-07279,7.2,58.3,64.4,2022-01-18T06:47:27Z,NA
N19-0307,PLY,LO-HP 5,2021,4,3,69,s,NA,t,NA,NA,2161.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,58.3,64.5,2022-01-18T06:48:03Z,NA
N19-0318,PLY,LO-HP 5,2021,1,4,11,w,9,t,1,34,1991.1,14.2,1.5,NA,NA,NA,NIR-07280,2022-01-18T11:15:09Z,7.74,19.72,48.59,66.33,9.55,8.36,11.77,4.33,2021_PLY_LO-HP 5_4_N19-0318_1_NIR-07280,7.1,56.8,64.3,2022-01-18T06:48:53Z,NA
N19-0318,PLY,LO-HP 5,2021,2,4,34,w,11,t,1.5,32,1994.4,15.1,1.5,NA,NA,NA,NIR-07281,2022-01-18T11:15:43Z,7.23,20.35,48.35,65.7,9.2,9.35,11.08,4.3,2021_PLY_LO-HP 5_4_N19-0318_2_NIR-07281,7,55.6,64.5,2022-01-18T06:49:35Z,NA
N19-0318,PLY,LO-HP 5,2021,3,4,55,w,NA,t,NA,NA,2134,14.7,NA,NA,NA,NA,NIR-07282,2022-01-18T11:16:31Z,7.91,20.55,48.42,64.98,9.04,9.91,11.1,4.21,2021_PLY_LO-HP 5_4_N19-0318_3_NIR-07282,7,56.3,64,2022-01-18T06:50:11Z,NA
N19-0318,PLY,LO-HP 5,2021,4,4,65,w,NA,t,NA,NA,2123.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,56.5,64.9,2022-01-18T06:50:48Z,NA
N19-0338,PLY,LO-HP 5,2021,1,5,1,w,4,g,1,30,2178.1,15.4,1.5,NA,NA,NA,NIR-07283,2022-01-18T11:17:04Z,7.63,19.46,48.09,66.12,9.95,7.07,11.56,3.97,2021_PLY_LO-HP 5_5_N19-0338_1_NIR-07283,7,56.2,65,2022-01-18T06:51:34Z,NA
N19-0338,PLY,LO-HP 5,2021,2,5,36,w,4,g,1,31,1968.5,14.6,1.5,NA,NA,NA,NIR-07284,2022-01-18T11:17:40Z,7.32,19.15,47.51,67.75,10.53,4.49,11.84,4.37,2021_PLY_LO-HP 5_5_N19-0338_2_NIR-07284,7,56.8,65.3,2022-01-18T06:52:20Z,NA
N19-0338,PLY,LO-HP 5,2021,3,5,58,w,NA,g,NA,NA,2075.1,14.7,NA,NA,NA,NA,NIR-07285,2022-01-18T11:18:17Z,7.2,19.12,48.36,68.25,10.39,4.62,11.98,4.14,2021_PLY_LO-HP 5_5_N19-0338_3_NIR-07285,6.9,56.7,67,2022-01-18T06:52:56Z,NA
N19-0338,PLY,LO-HP 5,2021,4,5,77,w,NA,g,NA,NA,2104.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,56.3,64.1,2022-01-18T06:53:42Z,NA
N19-0609,PLY,LO-HP 5,2021,1,6,3,s,16,t,1,31,1830.8,14.2,1.5,NA,NA,NA,NIR-07286,2022-01-18T11:18:49Z,7.43,20.95,46.23,58.69,9.32,15.06,11.45,4.64,2021_PLY_LO-HP 5_6_N19-0609_1_NIR-07286,7.2,58.8,65.4,2022-01-18T06:54:26Z,NA
N19-0609,PLY,LO-HP 5,2021,2,6,40,s,11,t,1,33,1714.1,14.5,1.5,NA,NA,NA,NIR-07287,2022-01-18T11:20:07Z,7.35,20.44,47.55,61.36,9.04,13.16,10.91,4.27,2021_PLY_LO-HP 5_6_N19-0609_2_NIR-07287,7.1,58.5,66.2,2022-01-18T06:55:08Z,NA
N19-0609,PLY,LO-HP 5,2021,3,6,43,s,NA,t,NA,NA,1504.7,12.9,NA,NA,NA,NA,NIR-07288,2022-01-18T11:20:40Z,7.6,19.9,47.74,60.87,9.48,13.42,11.06,4.25,2021_PLY_LO-HP 5_6_N19-0609_3_NIR-07288,7.1,58.5,66.3,2022-01-18T06:55:50Z,NA
N19-0609,PLY,LO-HP 5,2021,4,6,73,s,NA,t,NA,NA,1730.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,58.3,66,2022-01-18T06:56:32Z,NA
N19-0668,PLY,LO-HP 5,2021,1,7,9,p,4,g,1.5,34,1761.4,12.2,1.5,NA,NA,NA,NIR-07289,2022-01-18T11:21:15Z,7.73,19.38,44.65,62.55,10.96,8.56,12.24,4.36,2021_PLY_LO-HP 5_7_N19-0668_1_NIR-07289,6.8,57.1,66.3,2022-01-18T06:57:31Z,NA
N19-0668,PLY,LO-HP 5,2021,2,7,26,p,6,g,2,32,1904.9,11.7,1.5,NA,NA,NA,NIR-07290,2022-01-18T11:21:47Z,7.45,19.34,45.03,65.99,10.91,5.09,12.56,4.47,2021_PLY_LO-HP 5_7_N19-0668_2_NIR-07290,6.9,57,65.9,2022-01-18T06:58:06Z,NA
N19-0668,PLY,LO-HP 5,2021,3,7,50,p,NA,g,NA,NA,2199.5,12.6,NA,NA,NA,NA,NIR-07291,2022-01-18T11:22:29Z,7.5,19.7,45.09,66.67,10.69,5.37,13.01,4.34,2021_PLY_LO-HP 5_7_N19-0668_3_NIR-07291,6.9,57.1,65.6,2022-01-18T06:58:44Z,NA
N19-0668,PLY,LO-HP 5,2021,4,7,66,p,NA,g,NA,NA,2140.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,58,66.9,2022-01-18T06:59:19Z,NA
